Indicator Name,Indicator Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Czech Republic,CZE,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Denmark,DNK,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Djibouti,DJI,,,32.6,,,24,,,19.8,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Dominica,DMA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Dominican Republic,DOM,,,18.6,,,15.9,,,15.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ecuador,ECU,,,21.4,,,19.6,,,18.3,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Egypt, Arab Rep.",EGY,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,El Salvador,SLV,,,10.6,,,11.3,,,12.3,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Equatorial Guinea,GNQ,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Eritrea,ERI,,,74.8,,,69.1,,,65.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Estonia,EST,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ethiopia,ETH,,,47.7,,,43.8,,,40.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Faeroe Islands,FRO,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Fiji,FJI,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Finland,FIN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,France,FRA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,French Polynesia,PYF,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Gabon,GAB,,,5.8,,,6,,,6.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Gambia, The",GMB,,,19.3,,,13,,,14.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Georgia,GEO,,,28.9,,,30,,,24.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Germany,DEU,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ghana,GHA,,,9.5,,,5.8,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Greece,GRC,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Greenland,GRL,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Grenada,GRD,,,26.2,,,22.8,,,17.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guam,GUM,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guatemala,GTM,,,29.9,,,30.2,,,30.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guinea,GIN,,,17,,,15.5,,,17.3,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guinea-Bissau,GNB,,,18.5,,,14.4,,,8.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guyana,GUY,,,9,,,7.5,,,5.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Haiti,HTI,,,53.5,,,46.8,,,44.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Honduras,HND,,,14.2,,,11.6,,,9.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Hong Kong SAR, China",HKG,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Hungary,HUN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Iceland,ISL,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,India,IND,,,20.9,,,19,,,17.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Indonesia,IDN,,,15.1,,,11.9,,,8.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Iran, Islamic Rep.",IRN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Iraq,IRQ,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ireland,IRL,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Isle of Man,IMY,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Israel,ISR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Italy,ITA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Jamaica,JAM,,,7,,,7.8,,,8.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Japan,JPN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Jordan,JOR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kazakhstan,KAZ,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kenya,KEN,,,32.9,,,32.4,,,30.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kiribati,KIR,,,6.5,,,6.5,,,8.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Korea, Dem. Rep.",PRK,,,36.1,,,39.7,,,32,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Korea, Rep.",KOR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kosovo,KSV,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kuwait,KWT,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kyrgyz Republic,KGZ,,,9.4,,,8.6,,,6.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lao PDR,LAO,,,33.4,,,29.4,,,27.8,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Latvia,LVA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lebanon,LBN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lesotho,LSO,,,16.3,,,17,,,16.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Liberia,LBR,,,29.6,,,29.6,,,31.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Libya,LBY,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Liechtenstein,LIE,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lithuania,LTU,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Luxembourg,LUX,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Macao SAR, China",MAC,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Macedonia, FYR",MKD,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Madagascar,MDG,,,28.1,,,29.1,,,33.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malawi,MWI,,,24.7,,,23,,,23.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malaysia,MYS,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Maldives,MDV,,,10.1,,,7.4,,,5.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mali,MLI,,,14.7,,,9.5,,,7.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malta,MLT,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Marshall Islands,MHL,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mauritania,MRT,,,8.9,,,7.9,,,9.3,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mauritius,MUS,,,5.9,,,5.6,,,5.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mexico,MEX,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Moldova,MDA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Monaco,MCO,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mongolia,MNG,,,32.5,,,27.6,,,24.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Montenegro,MNE,,,,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Morocco,MAR,,,5.2,,,5.2,,,5.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mozambique,MOZ,,,40.3,,,39.9,,,39.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Myanmar,MMR,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Namibia,NAM,,,26.8,,,32.7,,,33.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nepal,NPL,,,21.7,,,20.1,,,18,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Netherlands,NLD,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,New Caledonia,NCL,,,6.8,,,5.8,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,New Zealand,NZL,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nicaragua,NIC,,,26.7,,,23.9,,,20.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Niger,NER,,,20,,,13.6,,,12.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nigeria,NGA,,,6.8,,,7.3,,,8.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Northern Mariana Islands,MNP,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Norway,NOR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Oman,OMN,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Pakistan,PAK,,,22.8,,,20.8,,,19.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Palau,PLW,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Panama,PAN,,,19.7,,,13.1,,,10.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Papua New Guinea,PNG,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Paraguay,PRY,,,12.6,,,16.8,,,25.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Peru,PER,,,21.4,,,15.9,,,11.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Philippines,PHL,,,18,,,15.9,,,17,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Poland,POL,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Portugal,PRT,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Puerto Rico,PRI,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Qatar,QAT,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Romania,ROM,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Russian Federation,RUS,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Rwanda,RWA,,,42.1,,,34.2,,,28.9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Samoa,WSM,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,San Marino,SMR,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sao Tome and Principe,STP,,,8.9,,,7.5,,,7.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Saudi Arabia,SAU,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Senegal,SEN,,,16.9,,,16.5,,,20.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Serbia,SRB,,,,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Seychelles,SYC,,,8.3,,,8.7,,,8.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sierra Leone,SLE,,,35.5,,,33.1,,,28.8,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Singapore,SGP,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sint Maarten (Dutch part),SXM,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Slovak Republic,SVK,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Slovenia,SVN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Solomon Islands,SLB,,,12.8,,,12.7,,,12.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Somalia,SOM,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,South Africa,ZAF,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,South Sudan,SSD,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Spain,ESP,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sri Lanka,LKA,,,27.9,,,25.7,,,24,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Kitts and Nevis,KNA,,,21.1,,,17.6,,,14,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Lucia,LCA,,,11.6,,,12.6,,,14.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Martin (French part),MAF,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Vincent and the Grenadines,VCT,,,7.3,,,5.9,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sudan,SDN,,,32,,,36.6,,,39.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Suriname,SUR,,,15.7,,,13.9,,,11.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Swaziland,SWZ,,,18.7,,,27.3,,,27,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sweden,SWE,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Switzerland,CHE,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Syrian Arab Republic,SYR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tajikistan,TJK,,,34.3,,,36.7,,,31.7,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tanzania,TZA,,,35.1,,,36.1,,,38.8,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Thailand,THA,,,11.2,,,9.5,,,7.3,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Timor-Leste,TMP,,,28.5,,,30.1,,,38.2,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Togo,TGO,,,20.4,,,19.8,,,16.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tonga,TON,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Trinidad and Tobago,TTO,,,13.3,,,11.1,,,9.3,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tunisia,TUN,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Turkey,TUR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Turkmenistan,TKM,,,5.5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Turks and Caicos Islands,TCA,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tuvalu,TUV,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Uganda,UGA,,,27.9,,,31,,,34.6,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ukraine,UKR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United Arab Emirates,ARE,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United Kingdom,GBR,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United States,USA,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Uruguay,URY,,,5,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Uzbekistan,UZB,,,9.8,,,7.9,,,6.1,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Vanuatu,VUT,,,7.1,,,6.8,,,8.5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Venezuela, RB",VEN,,,9.7,,,5,,,5,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Vietnam,VNM,,,15.6,,,12.5,,,9,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Virgin Islands (U.S.),VIR,,,,,,,,,,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,West Bank and Gaza,WBG,,,18.1,,,26.4,,,31,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Yemen, Rep.",YEM,,,31.7,,,30.6,,,32.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Zambia,ZMB,,,48.3,,,47.5,,,47.4,
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Zimbabwe,ZWE,,,38.2,,,33.9,,,32.8,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Afghanistan,AFG,,28,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Albania,ALB,,,,,60.3,,75.6,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Algeria,DZA,,,,60.7,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,American Samoa,ASM,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Andorra,ADO,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Angola,AGO,,,,,44.7,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Antigua and Barbuda,ATG,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Argentina,ARG,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Armenia,ARM,,,97,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Aruba,ABW,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Australia,AUS,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Austria,AUT,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Azerbaijan,AZE,,,,53.8,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,"Bahamas, The",BHS,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bahrain,BHR,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bangladesh,BGD,,,,84.3,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Barbados,BRB,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Belarus,BLR,,55.1,,,,94,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Belgium,BEL,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Belize,BLZ,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Benin,BEN,,,,54.5,,67.2,,,86,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bermuda,BMU,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bhutan,BTN,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bolivia,BOL,90.1,,,,,88.8,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bosnia and Herzegovina,BIH,,,62,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Botswana,BWA,,,,,65.2,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Brazil,BRA,,,,95.7,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Brunei Darussalam,BRN,,,,,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Bulgaria,BGR,,,,100,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Burkina Faso,BFA,47.8,,,33.7,,,,,,
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Burundi,BDI,,,98,,,,,,,
